username	shortname
acka946	GEN_ADN_CPP_2015-16
acka947	GEN_ADN_CPP_2015-16
acka948	GEN_ADN_CPP_2015-16
acka949	GEN_ADN_CPP_2015-16
acka950	GEN_ADN_CPP_2015-16
acka951	GEN_ADN_CPP_2015-16
acka952	GEN_ADN_CPP_2015-16
acka953	GEN_ADN_CPP_2015-16
acka954	GEN_ADN_CPP_2015-16
acka960	GEN_ADN_CPP_2015-16
acka962	GEN_ADN_CPP_2015-16
acnf856	GEN_ADN_CPP_2015-16
acnf860	GEN_ADN_CPP_2015-16
acnf865	GEN_ADN_CPP_2015-16
acnf868	GEN_ADN_CPP_2015-16
acnf871	GEN_ADN_CPP_2015-16
acnf872	GEN_ADN_CPP_2015-16
acnf874	GEN_ADN_CPP_2015-16
acnf875	GEN_ADN_CPP_2015-16
acnf877	GEN_ADN_CPP_2015-16
acnf880	GEN_ADN_CPP_2015-16
acnf901	GEN_ADN_CPP_2015-16
acnk897	GEN_ADN_CPP_2015-16
acnk899	GEN_ADN_CPP_2015-16
acnk900	GEN_ADN_CPP_2015-16
acnk901	GEN_ADN_CPP_2015-16
acnk902	GEN_ADN_CPP_2015-16
acnk903	GEN_ADN_CPP_2015-16
acnk905	GEN_ADN_CPP_2015-16
acnn158	GEN_ADN_CPP_2015-16
acnn186	GEN_ADN_CPP_2015-16
acnn188	GEN_ADN_CPP_2015-16
acnn191	GEN_ADN_CPP_2015-16
acnn195	GEN_ADN_CPP_2015-16
acnn196	GEN_ADN_CPP_2015-16
acnn206	GEN_ADN_CPP_2015-16
acnn209	GEN_ADN_CPP_2015-16
acnn214	GEN_ADN_CPP_2015-16
abkc485	GEN_ADN_CPP_2015-16
acjx909	GEN_ADN_CPP_2015-16
ackb197	GEN_ADN_CPP_2015-16
ackb198	GEN_ADN_CPP_2015-16
ackb200	GEN_ADN_CPP_2015-16
ackb202	GEN_ADN_CPP_2015-16
ackb205	GEN_ADN_CPP_2015-16
ackb206	GEN_ADN_CPP_2015-16
ackb207	GEN_ADN_CPP_2015-16
ackb209	GEN_ADN_CPP_2015-16
ackb213	GEN_ADN_CPP_2015-16
ackb215	GEN_ADN_CPP_2015-16
ackb216	GEN_ADN_CPP_2015-16
ackb217	GEN_ADN_CPP_2015-16
ackb219	GEN_ADN_CPP_2015-16
ackb222	GEN_ADN_CPP_2015-16
ackb224	GEN_ADN_CPP_2015-16
ackb226	GEN_ADN_CPP_2015-16
acnd488	GEN_ADN_CPP_2015-16
acnd489	GEN_ADN_CPP_2015-16
acnd490	GEN_ADN_CPP_2015-16
acnd491	GEN_ADN_CPP_2015-16
acnd492	GEN_ADN_CPP_2015-16
