username;course1;role1
acnf585;GEN_SMCSE_PRC_2015-16;student
acnh410;GEN_SMCSE_PRC_2015-16;student
acnm240;GEN_SMCSE_PRC_2015-16;student
acng271;GEN_SMCSE_PRC_2015-16;student
acnn244;GEN_SMCSE_PRC_2015-16;student
acnf567;GEN_SMCSE_PRC_2015-16;student
acnn108;GEN_SMCSE_PRC_2015-16;student
acnp568;GEN_SMCSE_PRC_2015-16;student
acnf552;GEN_SMCSE_PRC_2015-16;student
ackc276;GEN_SMCSE_PRC_2015-16;student
acmm661;GEN_SMCSE_PRC_2015-16;student
acnn980;GEN_SMCSE_PRC_2015-16;student
acnf650;GEN_SMCSE_PRC_2015-16;student
acnf152;GEN_CASS_LIBRESEMP_2015-16;student
acnp476;GEN_CASS_LIBRESEMP_2015-16;student
acnf115;GEN_CASS_LIBRESEMP_2015-16;student
abmf460;GEN_CASS_LIBRESEMP_2015-16;student
abnc131;GEN_CASS_LIBRESEMP_2015-16;student
acnc505;GEN_CASS_LIBRESEMP_2015-16;student
abnk052;GEN_CASS_LIBRESEMP_2015-16;student
abnk514;GEN_CASS_LIBRESEMP_2015-16;student
abnk672;GEN_CASS_LIBRESEMP_2015-16;student
abnk587;GEN_CASS_LIBRESEMP_2015-16;student
abnt949;GEN_CASS_LIBRESEMP_2015-16;student
abpc845;GEN_CASS_LIBRESEMP_2015-16;student
abpm477;GEN_CASS_LIBRESEMP_2015-16;student
acnf181;GEN_CASS_LIBRESEMP_2015-16;student
abpm023;GEN_CASS_LIBRESEMP_2015-16;student
acnm364;GEN_CASS_LIBRESEMP_2015-16;student
acng302;GEN_CASS_LIBRESEMP_2015-16;student
abpm484;GEN_CASS_LIBRESEMP_2015-16;student
acnc798;GEN_CASS_LIBRESEMP_2015-16;student
abpm521;GEN_CASS_LIBRESEMP_2015-16;student
abpk964;GEN_CASS_LIBRESEMP_2015-16;student
abpm559;GEN_CASS_LIBRESEMP_2015-16;student
abpk988;GEN_CASS_LIBRESEMP_2015-16;student
acnj965;GEN_CASS_LIBRESEMP_2015-16;student
abpn790;GEN_CASS_LIBRESEMP_2015-16;student
acnc881;GEN_CASS_LIBRESEMP_2015-16;student
acnm361;GEN_CASS_LIBRESEMP_2015-16;student
abpk235;GEN_CASS_LIBRESEMP_2015-16;student
abpk981;GEN_CASS_LIBRESEMP_2015-16;student
acnc837;GEN_CASS_LIBRESEMP_2015-16;student
abpm590;GEN_CASS_LIBRESEMP_2015-16;student
abpj811;GEN_CASS_LIBRESEMP_2015-16;student
abpm526;GEN_CASS_LIBRESEMP_2015-16;student
acng252;GEN_CASS_LIBRESEMP_2015-16;student
abpj886;GEN_CASS_LIBRESEMP_2015-16;student
acnp477;GEN_CASS_LIBRESEMP_2015-16;student
abpk174;GEN_CASS_LIBRESEMP_2015-16;student
abpk971;GEN_CASS_LIBRESEMP_2015-16;student
abpm595;GEN_CASS_LIBRESEMP_2015-16;student
